R,G,B
159,165,161
170,177,170
189,195,191
163,169,169
188,192,191
193,193,193
192,196,195
96,98,93
119,116,107
156,161,154
187,189,186
119,125,121
185,190,184
200,205,201
206,215,212
214,220,218
214,223,220
155,163,152
153,158,151
157,167,158
167,170,163
138,141,134
116,123,116
100,103,92
167,173,169
139,147,136
97,95,83
123,124,110
118,119,103
134,145,141
171,180,175
154,163,162
175,186,182
171,177,173
166,173,166
187,191,194
163,166,159
178,182,181
158,160,157
207,213,209
204,209,205
217,223,219
205,211,207
199,204,200
208,214,210
188,195,187
193,197,198
187,191,194
120,118,119
99,89,77
154,155,141
178,182,181
190,191,193
159,156,149
180,185,178
156,156,154
171,180,175
182,185,176
168,165,160
171,176,172
174,180,176
189,195,193
209,215,213
211,215,214
207,209,206
186,190,189
175,176,171
193,199,195
179,178,173
149,150,145
192,194,189
121,123,109
144,150,138
157,162,156
142,149,141
164,166,161
161,166,160
142,145,138
159,164,157
150,152,147
138,141,134
163,165,160
196,202,200
188,190,187
173,174,168
163,164,159
183,185,182
191,193,190
163,168,164
98,101,94
176,181,184
183,189,189
103,103,95
111,106,102
166,171,165
165,167,164
205,210,206
206,210,209
193,195,192
185,191,187
156,162,158
174,180,178
175,180,176
179,185,181
154,159,152
171,173,168
159,160,152
157,163,153
173,178,172
221,224,217
175,182,175
180,186,182
180,186,182
186,196,188
166,172,170
169,178,173
137,144,137
200,205,201
204,209,205
209,215,213
126,131,125
186,187,182
198,199,193
192,196,197
206,210,209
209,213,212
203,209,207
112,105,97
149,154,150
176,181,177
141,144,137
154,159,153
208,214,212
216,220,219
212,216,215
206,210,211
216,220,219
211,215,214
187,192,186
199,208,205
200,206,206
209,213,214
216,222,222
213,219,219
214,220,220
208,217,214
211,220,219
162,167,161
126,133,125
174,175,170
176,181,175
180,185,179
167,169,164
155,162,154
182,185,178
202,206,209
203,212,211
207,216,213
211,220,217
209,218,215
212,218,218
197,199,196
214,222,224
219,228,227
216,225,224
216,225,224
184,195,189
188,199,195
174,180,176
144,149,143
165,164,162
210,214,213
206,207,209
204,210,208
197,201,200
180,179,174
170,171,166
151,156,152
158,164,160
165,174,169
179,189,181
170,175,169
133,136,125
174,180,176
202,208,208
196,202,202
182,188,188
206,215,212
211,220,219
206,212,212
191,195,196
192,197,193
217,223,223
184,191,184
160,165,159
207,212,208
198,203,199
199,205,201
195,201,201
185,191,187
