R,G,B
150,98,61
153,102,73
146,111,92
150,99,70
148,97,66
148,93,63
151,92,60
138,93,64
156,96,59
164,105,61
154,100,56
149,100,70
146,87,53
149,93,60
135,85,62
136,99,72
167,105,54
175,121,83
165,102,51
160,99,52
161,99,48
161,100,53
156,97,55
164,102,45
164,102,55
172,116,69
168,113,74
163,100,56
145,104,76
161,100,46
164,97,45
151,106,65
165,100,44
154,95,51
153,91,40
153,91,40
164,101,60
170,105,63
144,98,65
165,104,60
161,97,49
154,102,65
157,100,55
156,102,56
177,137,86
160,94,46
166,105,61
155,92,39
159,135,111
172,107,65
160,94,44
149,92,47
152,91,47
143,88,47
153,92,48
146,92,58
149,106,87
134,94,69
139,107,94
146,111,92
142,104,83
174,111,40
169,108,45
169,105,41
173,109,47
177,113,51
169,113,56
177,107,37
173,106,38
167,102,36
169,101,38
129,69,19
132,65,20
134,72,25
139,77,28
136,78,30
131,78,34
142,74,29
170,115,58
173,105,44
163,106,51
178,119,59
177,114,45
167,105,48
166,102,40
172,108,44
151,86,28
143,87,50
138,72,22
156,90,38
144,79,25
149,83,35
125,69,42
135,91,66
157,94,41
165,108,65
143,82,27
142,79,25
130,74,41
133,75,38
131,73,36
138,76,27
132,76,29
142,79,28
138,82,49
169,111,61
168,109,65
170,111,55
174,115,59
171,106,38
156,94,45
157,90,37
162,98,50
141,88,56
159,94,36
141,84,54
146,92,48
173,108,50
165,108,55
165,105,43
160,103,58
164,103,56
163,102,45
164,111,71
158,97,50
158,96,47
166,101,47
171,105,47
166,104,55
157,105,65
163,101,52
165,103,46
165,104,57
172,116,69
165,111,65
158,102,51
169,109,55
162,108,72
160,104,77
147,94,50
157,99,61
158,95,54
146,86,49
164,99,45
164,95,30
170,108,49
172,106,46
182,129,89
197,140,87
185,127,63
174,115,47
180,119,62
172,114,50
172,102,40
172,112,40
178,119,49
178,117,52
178,122,61
171,108,41
170,108,47
167,106,51
168,120,84
155,110,89
182,150,129
174,122,85
182,144,108
173,126,84
185,133,85
188,155,138
182,148,123
174,123,76
200,154,118
178,134,87
178,124,62
174,122,72
129,75,28
157,101,42
181,129,72
173,120,54
189,133,74
198,136,77
192,133,75
185,125,75
169,109,57
171,101,29
175,106,41
176,107,40
159,103,46
174,109,45
166,104,45
179,123,72
169,109,59
171,111,39
170,105,41
161,108,66
168,108,54
158,105,55
164,103,48
161,99,42
166,103,49
