R,G,B
160,104,55
165,104,60
167,104,50
159,101,61
174,103,51
170,108,49
177,111,51
182,116,56
176,110,50
178,114,53
176,113,60
181,119,72
172,113,47
177,112,56
164,104,54
165,106,64
158,100,62
150,100,67
160,95,57
127,83,56
164,96,59
169,109,57
174,118,67
184,115,50
180,117,50
181,113,48
170,114,63
174,111,57
178,111,56
167,105,54
179,114,50
182,116,55
182,117,49
187,116,54
177,103,40
183,113,51
181,111,52
182,108,45
180,110,48
178,110,47
175,104,50
174,112,53
179,109,50
173,112,57
173,108,50
176,116,56
182,113,58
179,120,64
188,133,92
178,118,58
186,120,60
178,114,52
173,114,70
177,120,65
177,118,62
182,112,50
176,115,60
185,116,49
179,123,72
179,111,46
177,108,51
176,110,52
175,109,51
172,111,54
183,112,48
172,113,57
178,107,43
173,106,51
177,106,50
176,107,52
173,106,51
165,94,40
166,105,51
160,98,51
178,110,47
177,112,48
174,116,53
164,97,44
168,101,48
172,105,60
169,99,40
169,98,42
171,98,43
167,96,40
170,98,40
171,98,43
168,96,38
172,97,39
162,93,36
167,95,36
162,90,40
170,104,44
167,96,42
167,100,45
170,99,37
171,100,48
167,98,43
168,93,36
157,93,45
161,95,47
168,99,40
153,95,55
158,90,41
150,97,65
159,96,43
144,91,59
170,99,47
167,97,38
158,94,50
157,96,49
164,100,52
153,92,48
148,83,45
154,95,61
163,101,44
181,121,69
178,110,49
174,109,51
176,108,47
176,110,52
178,109,50
170,121,80
173,109,47
175,106,39
166,112,78
175,110,56
170,116,70
169,106,55
174,108,50
174,108,47
179,118,63
168,104,40
179,120,76
171,102,43
171,106,42
161,105,56
159,103,54
170,102,41
168,102,42
172,102,40
164,101,48
169,99,39
166,103,50
159,98,41
166,101,47
159,103,54
161,99,52
165,98,45
158,95,44
165,98,46
163,96,41
154,92,45
163,95,46
167,98,43
160,96,50
162,96,46
162,95,40
168,96,37
165,94,38
162,95,40
164,95,38
162,95,40
167,95,36
159,92,39
164,91,40
167,97,46
159,89,37
164,94,42
154,93,38
151,99,60
160,88,40
156,90,42
172,102,43
164,98,46
163,99,51
170,97,42
160,90,41
164,98,46
167,98,39
168,93,36
166,96,44
165,94,40
172,101,45
159,95,49
167,96,44
168,97,41
157,93,55
157,98,58
158,91,36
164,93,37
164,97,44
167,94,39
164,93,37
163,90,39
165,92,37
162,96,44
167,98,43
166,101,47
165,95,35
162,97,43
164,92,34
163,92,40
140,90,65
146,91,50
159,97,58
155,84,32
169,95,34
153,91,44
162,90,31
160,90,30
164,92,34
159,90,33
160,89,35
162,90,40
158,96,47
161,93,32
160,89,43
166,97,28
158,86,27
158,97,43
151,90,35
163,94,27
170,96,31
162,93,36
157,90,37
166,100,48
169,100,43
172,101,45
167,96,40
168,99,44
167,101,51
167,97,48
166,99,46
169,103,45
137,81,48
169,107,48
161,102,62
171,105,55
173,105,56
171,104,52
164,100,54
169,109,59
169,103,53
167,99,50
163,95,46
165,101,55
165,103,54
171,102,45
166,108,62
169,98,42
163,92,36
168,102,50
167,101,49
166,100,48
162,103,59
168,107,53
168,102,50
170,107,54
175,109,51
176,107,48
174,105,46
174,108,50
168,102,44
175,106,47
168,101,48
168,102,50
175,106,51
170,105,47
162,102,48
172,105,52
170,108,51
171,102,45
171,105,55
169,104,50
163,92,36
166,96,44
167,100,45
159,94,40
152,88,42
158,91,38
162,95,42
171,96,38
163,91,32
166,96,37
165,92,37
161,91,29
159,96,42
161,90,36
162,101,57
161,103,53
151,100,73
151,95,60
143,87,54
132,80,59
146,79,34
170,119,90
156,92,46
149,93,66
153,93,65
137,80,51
158,87,41
158,86,38
158,87,43
157,86,34
160,88,38
153,82,36
159,88,34
157,90,47
163,93,44
164,95,53
147,93,59
142,86,59
145,82,41
152,90,51
157,91,43
155,93,46
160,102,56
161,93,44
170,100,48
163,106,53
158,90,43
160,90,41
163,97,45
165,102,58
168,106,55
167,104,50
132,84,46
161,100,56
166,104,53
167,106,59
160,106,60
172,107,53
165,111,64
162,101,44
166,101,37
169,104,40
167,103,41
174,105,40
170,102,37
171,103,42
174,103,39
175,114,60
175,113,62
173,111,60
169,108,54
162,101,54
167,105,58
172,107,53
172,108,44
172,107,49
175,108,40
165,101,53
171,96,38
173,107,55
180,118,77
174,110,74
179,115,53
179,110,51
168,106,65
172,105,62
166,103,60
168,100,55
170,99,35
170,102,39
167,99,36
178,120,70
171,105,53
164,102,45
173,110,57
164,113,70
164,113,70
164,103,58
165,99,38
156,92,28
160,92,31
169,99,30
158,87,23
164,96,35
162,98,36
151,91,37
151,91,29
157,95,38
153,92,37
154,86,37
157,91,31
155,90,32
157,90,35
162,93,26
156,90,32
164,90,27
156,89,36
155,92,51
161,87,38
163,93,41
157,101,52
176,121,80
170,117,73
167,104,51
167,104,50
165,109,58
166,103,49
170,109,54
178,116,57
172,106,46
164,108,57
165,102,49
171,107,46
169,105,43
165,106,48
169,106,55
179,117,70
176,114,73
180,117,66
182,119,68
176,117,73
178,117,72
172,107,43
168,98,36
173,102,38
165,100,42
167,96,42
166,101,43
175,104,42
167,96,44
169,103,45
168,102,52
172,98,37
167,101,43
171,102,47
166,95,41
166,97,42
168,98,46
170,102,41
167,92,35
163,93,41
166,96,45
168,95,44
171,95,35
166,93,38
164,95,36
160,95,41
151,98,58
143,99,62
167,96,34
170,100,41
164,93,37
169,97,39
163,93,41
154,93,39
154,87,42
158,95,44
168,97,43
157,90,38
157,95,44
161,91,39
158,95,41
157,90,35
158,91,38
156,89,44
154,91,40
160,92,45
159,93,43
179,119,67
179,117,66
177,111,63
177,115,58
171,118,76
175,112,68
141,97,68
178,117,63
176,114,65
180,117,63
169,111,63
170,113,60
169,111,65
178,115,62
178,116,57
168,118,83
182,117,59
177,116,61
175,116,60
176,116,64
179,116,62
181,118,64
177,116,69
181,118,64
181,118,65
179,117,60
179,116,65
177,117,65
182,116,56
182,119,65
181,120,63
181,116,62
179,119,69
180,119,64
182,119,65
183,120,66
176,115,68
181,115,65
177,114,60
179,118,64
172,113,71
180,115,61
174,111,60
174,111,57
172,111,57
179,118,64
176,113,60
174,107,62
177,113,65
179,112,57
176,110,58
176,115,61
176,113,60
176,113,62
170,110,58
174,111,60
175,109,57
169,107,56
168,109,67
158,104,60
171,107,61
175,111,63
177,112,58
171,109,62
172,108,60
176,113,62
174,113,66
180,120,66
179,123,62
180,122,72
184,125,67
180,121,63
181,122,64
181,129,79
177,122,68
183,121,64
174,118,67
178,121,68
179,119,67
178,125,73
173,119,72
176,124,77
171,115,66
167,99,34
170,100,30
171,109,60
179,113,63
176,117,61
166,111,70
176,116,66
171,103,40
163,96,53
170,99,45
164,93,29
146,84,35
149,87,26
160,92,29
147,86,42
160,92,31
178,121,68
178,115,61
175,110,46
174,108,48
175,106,31
173,105,44
165,99,39
175,105,45
167,101,40
169,100,41
177,108,41
161,102,36
176,106,44
160,98,41
170,105,49
170,108,49
171,106,48
179,114,50
174,109,43
175,100,35
173,104,39
174,108,48
174,105,30
170,108,57
174,105,50
177,117,65
173,120,68
182,119,68
178,121,66
177,116,61
179,118,63
179,123,74
172,106,46
172,102,42
180,114,54
161,93,32
164,95,36
166,98,35
172,98,35
157,88,31
170,99,37
170,98,40
164,95,40
166,96,37
164,102,45
162,100,43
167,96,32
161,100,45
170,105,51
169,104,40
173,103,43
172,101,37
167,96,34
165,99,41
174,103,39
171,101,32
173,98,40
174,103,37
177,109,44
172,106,54
175,102,33
169,100,33
166,100,40
176,102,39
166,101,45
169,100,41
167,98,41
165,97,34
172,101,37
174,100,35
166,94,35
166,95,33
170,99,35
168,99,42
154,92,41
158,91,36
168,99,32
167,102,38
149,86,35
167,102,48
161,93,32
166,98,35
170,104,44
169,100,41
169,104,48
168,103,49
167,101,40
171,103,42
174,104,42
174,106,41
169,104,40
175,106,41
173,103,41
168,102,41
181,108,55
179,108,54
172,104,43
166,93,38
186,120,60
175,105,54
167,100,45
163,95,34
178,113,59
171,108,54
173,104,45
170,104,46
164,103,58
170,104,44
173,93,40
165,100,44
173,105,44
174,111,57
160,100,38
162,101,47
157,98,54
166,97,38
167,102,48
169,103,43
165,96,41
165,102,49
169,104,46
173,103,43
172,107,53
177,112,58
178,108,48
173,104,39
174,104,42
158,94,33
179,139,113
180,132,96
174,128,92
175,131,92
179,129,92
177,131,95
184,136,98
182,121,67
178,113,57
176,120,69
181,120,57
187,135,88
177,117,65
180,116,68
178,115,61
174,107,54
177,114,61
174,116,70
168,112,65
171,112,70
177,110,58
175,113,56
174,113,58
175,113,64
179,116,65
172,108,60
167,105,56
168,106,57
168,106,57
161,99,58
167,101,53
171,105,57
169,105,59
159,100,58
161,104,61
172,108,60
168,107,63
171,110,65
