R,G,B
121,98,84
112,98,89
170,152,138
113,95,81
150,130,119
151,133,121
99,81,71
108,92,79
127,121,107
155,130,108
123,109,100
107,95,81
136,134,122
178,176,161
130,113,97
118,100,90
147,143,132
139,131,118
134,112,98
128,111,101
127,119,106
163,169,157
164,170,158
174,175,161
175,175,163
172,173,159
172,169,160
182,180,168
145,141,129
141,135,123
142,136,122
135,123,107
133,123,111
199,188,182
183,176,170
199,194,188
202,193,194
188,181,175
189,186,181
198,193,189
190,185,179
191,187,184
183,179,170
199,194,188
188,178,169
159,147,133
193,192,187
167,158,149
196,195,191
179,176,169
177,170,160
155,139,124
144,134,122
150,140,130
134,119,100
178,164,153
147,133,122
162,152,140
147,134,118
165,159,145
147,139,128
153,145,134
140,132,113
163,154,145
151,140,120
166,173,165
174,179,172
174,180,170
175,180,173
169,179,170
162,167,160
169,171,157
141,143,130
149,141,128
162,159,150
138,144,134
146,149,138
147,150,139
158,158,148
159,160,146
139,141,127
159,133,108
142,124,102
168,172,158
178,179,165
184,186,175
186,187,173
150,133,115
130,112,92
137,127,118
160,156,147
131,122,107
131,116,97
153,149,138
120,102,88
176,169,159
161,155,141
139,127,113
176,171,168
168,165,156
152,148,136
155,149,135
162,157,137
149,140,125
152,144,125
143,144,128
154,152,139
158,159,145
174,177,166
154,162,149
163,159,148
145,141,130
109,96,77
164,160,151
173,151,137
153,126,105
111,90,69
126,105,88
129,111,99
156,147,140
164,145,130
122,103,89
152,145,135
142,133,124
143,135,122
156,148,135
148,130,110
170,163,155
139,125,112
130,130,122
178,185,177
160,170,161
156,163,155
150,160,152
159,165,155
118,95,79
165,166,152
156,153,138
192,197,190
190,187,182
157,142,121
154,130,118
98,88,76
105,93,77
105,93,77
86,70,57
116,81,62
167,159,148
173,170,161
171,174,165
164,167,156
169,169,157
168,169,155
175,177,164
185,185,173
150,154,140
120,103,87
141,124,106
121,105,89
154,155,141
167,171,157
155,156,140
163,163,151
166,164,151
161,158,149
144,146,133
175,172,163
173,174,166
161,167,155
173,171,159
154,160,148
176,173,158
177,177,165
193,201,190
178,180,166
166,166,154
170,171,157
174,177,166
163,163,151
162,162,152
166,172,162
183,185,174
146,135,129
150,143,135
198,196,197
153,157,156
157,166,165
110,97,81
116,99,81
123,114,97
151,153,139
137,138,124
149,153,138
170,166,157
169,169,161
176,176,166
176,179,168
163,170,163
190,193,186
164,171,163
157,159,146
138,136,115
175,176,168
164,170,158
156,156,144
156,154,141
158,158,146
161,163,152
158,159,151
167,168,154
156,160,146
155,159,145
156,164,149
146,152,142
142,148,138
140,146,136
140,146,136
178,178,168
172,174,161
171,173,159
172,176,162
157,146,126
135,116,101
146,123,107
152,130,109
145,149,135
149,145,133
148,154,142
151,157,143
164,164,152
152,155,144
154,162,149
173,164,155
147,115,104
156,136,125
171,159,147
111,92,77
103,77,62
118,100,90
128,101,80
130,112,98
115,97,75
109,88,69
111,83,62
116,103,86
135,108,91
114,92,79
119,91,67
102,79,63
142,120,106
79,66,50
118,102,86
144,126,112
121,85,61
98,85,69
87,72,53
112,81,61
146,133,114
128,100,78
171,158,141
147,130,112
177,180,171
182,166,150
190,196,186
191,198,190
166,170,156
183,190,182
166,169,158
175,175,165
171,175,161
166,166,156
178,179,171
187,183,171
202,208,208
112,102,93
132,114,102
159,128,108
131,113,101
182,177,173
184,174,165
169,163,151
118,104,91
115,98,82
174,170,158
179,185,175
134,120,107
149,136,120
141,126,107
146,134,118
181,159,136
169,147,124
167,154,137
188,176,162
154,159,152
160,163,152
173,173,163
193,195,190
193,192,187
181,182,174
192,194,183
198,195,190
182,187,180
149,146,131
179,176,161
149,152,141
158,164,152
142,136,122
127,110,100
